contributor,bothunter,app,bodegha,rabbit,type
zzak,Human,False,Unknown,Human,Humain
GulajavaMinistudio,Human,False,Unknown,Bot,Humain
yklcs,Human,False,Unknown,Human,Humain
melroy89,Human,False,Unknown,Human,Humain
pulkit-30,Human,False,Human,Human,Humain
BridgeAR,Human,False,Human,Human,Humain
fhinkel,Human,False,Unknown,Human,Humain
eugeneo,Human,False,Unknown,Human,Humain
indutny,Human,False,Unknown,Human,Humain
github-actions[bot],Bot,True,Bot,Bot,Bot
kapouer,Human,False,Unknown,Human,Humain
wraithgar,Human,False,Human,Human,Humain
davidben,Human,False,Unknown,Human,Humain
yorkie,Human,False,Unknown,Human,Humain
ujh,Human,False,Unknown,Human,Humain
trivikr,Human,False,Unknown,Human,Humain
bmeck,Human,False,Human,Human,Humain
kuriyosh,Human,False,Unknown,Human,Humain
ExE-Boss,Human,False,Unknown,Human,Humain
hadeelshahin,Human,False,Unknown,Human,Humain
bengl,Human,False,Unknown,Human,Humain
RafaelGSS,Human,False,Human,Human,Humain
ShogunPanda,Human,False,Human,Human,Humain
shipujin,Human,False,Human,Human,Humain
nodejs-github-bot,Bot,False,Bot,Bot,Bot
H4ad,Human,False,Human,Human,Humain
fossamagna,Human,False,Unknown,Human,Humain
oleavr,Human,False,Unknown,Bot,Humain
arcanis,Human,False,Human,Human,Humain
marco-ippolito,Human,False,Human,Human,Humain
jasongin,Human,False,Unknown,Human,Humain
StefanStojanovic,Human,False,Human,Human,Humain
debadree25,Human,False,Human,Human,Humain
mhdawson,Human,False,Human,Human,Humain
panva,Human,False,Human,Human,Humain
sapics,Human,False,Unknown,Bot,Humain
mafintosh,Human,False,Unknown,Human,Humain
codecov-commenter,Bot,False,Unknown,Bot,Bot
malthe,Human,False,Human,Human,Humain
AndreasMadsen,Human,False,Unknown,Human,Humain
